feature,seed_7,seed_21,seed_42,seed_90,seed_2026,mean_abs_shap,sd_abs_shap
t0_ux,0.15128570118255447,0.13950169061409542,0.1430899124519492,0.16172195505455603,0.1534219904873753,0.1498042499581061,0.008782646187467246
t0_uy,0.40240762975189137,0.42492893657181413,0.40756947558629325,0.4021726806191728,0.4387948417334701,0.4151747128525283,0.016147339221135593
t0_uz,0.12482708263761015,0.15798853717010933,0.13225535084400325,0.15541339964192594,0.12976650053833147,0.14005017416639604,0.015460185104605171
t0_dedx,0.0018126733701683405,0.0018651936652365748,0.0022403192811423197,0.0020391377831410866,0.002010392187245088,0.001993543257386682,0.00016766684751633222
t1_ux,0.25377773836546474,0.2340572374904441,0.23794356141478057,0.24658922614331824,0.22237276661675423,0.23894810600615238,0.01202056876161337
t1_uy,0.23960877603994596,0.25376041052566145,0.2532993113907287,0.2629095607092604,0.2777771336976439,0.2574710384726481,0.0140725576320229
t1_uz,0.2665781777498778,0.26196828920859844,0.26328777506714685,0.2863592782099149,0.2623232078392975,0.2681033456149671,0.010366337847138455
t1_dedx,0.0912761716205132,0.09675068777892738,0.09213143030909578,0.10527539685124065,0.09209224547535996,0.09550518640702739,0.005872036441209217
t2_ux,0.37611978817591446,0.4006083070742025,0.3514361497362843,0.3816257316795418,0.35040211770986207,0.372038418875161,0.0213154619681942
t2_uy,0.4280826596419793,0.4045294049454387,0.41754563172004416,0.3892925616968423,0.4355404931767844,0.4149981502362178,0.018507118980993692
t2_uz,0.4133102582653519,0.3590911072033923,0.4340164457284845,0.44502869096177167,0.3881455960763851,0.4079184196470772,0.03486553498267491
t2_dedx,0.45407542534673123,0.43117358126631006,0.44489778114273215,0.4371104305787594,0.4624949329770752,0.4459504302623216,0.012622846806737474
