epoch,train_loss,val_loss,train_f1,val_f1
1,0.5415013872531199,0.5209486970708549,0.7465031096903758,0.7562175640545237
2,0.5300299249669728,0.5188411998948308,0.7531183973139386,0.7584975249316327
3,0.5276473928780395,0.5173984289584144,0.754261958468041,0.7597742601399069
4,0.5260976903329572,0.5174296213633433,0.7550334538772108,0.759656535568392
5,0.5253259936280384,0.5165757344384344,0.7554079879483572,0.7603846323818041
6,0.52469244959137,0.5169322807374783,0.7557783877639377,0.7610510349381926
7,0.5241014549379176,0.5159355906089461,0.7559852825619944,0.7599481922977536
8,0.523751699146427,0.5158765450065975,0.7561758177320026,0.7603680943865971
9,0.5233015034530107,0.5154946646740166,0.7563281785949092,0.7609494687021966
10,0.5230588908305501,0.5161193965640171,0.7565184004286541,0.7582474169279897
11,0.522665176382292,0.5155259074262153,0.7566867361438908,0.7603736625316478
12,0.5224808185087566,0.5151943843059174,0.756818561179429,0.7598448498839429
13,0.5222177418991376,0.5152285667505601,0.7570333283693533,0.7605935103873723
14,0.5220120224899043,0.5162533709612509,0.7570858651846027,0.7570228559004045
15,0.5218738678333348,0.5148355520185637,0.7570231494053891,0.7607386020811613
16,0.5217100828760886,0.5149872184149795,0.7571635508054828,0.7592548512125181
17,0.5215153167109426,0.5149023827087132,0.7571999628631957,0.7603657043887777
18,0.5213808312494906,0.5154500721323322,0.7574315205491876,0.7596511853703016
19,0.5212583538149633,0.5148676920449635,0.7573474954998118,0.7592059398119554
20,0.5210934991272359,0.5149994771434088,0.7574558949208173,0.7596677936560875
21,0.5209696880802516,0.5154543788311525,0.7575422355587729,0.759294936186861
22,0.5209046881967746,0.5152639584955793,0.7575831565687936,0.7585015072640161
23,0.5207794622878856,0.5159336520485145,0.7575401484377069,0.7578544327287389
24,0.5206703491940081,0.5164917365924765,0.7576674778806717,0.7582682371091896
25,0.5205680019052467,0.5147604483225483,0.7578684475454565,0.7608452603281215
26,0.5204922831049132,0.5143531037316847,0.7578132474852689,0.7616412235566151
27,0.520270276214497,0.5151334993953816,0.7580334655892285,0.7601727930849099
28,0.5203378982323459,0.5141290594427503,0.7579081715771714,0.7613225340480553
29,0.5202060797475886,0.515646889563884,0.7581178411338027,0.7590086017411354
30,0.5202186377770279,0.5146422453713924,0.757907683943721,0.7601966386404095
31,0.520059440444247,0.5142772155391407,0.758031763819136,0.7608940001285474
32,0.5200177437615273,0.5143378130959294,0.758069313329115,0.7602049979170518
33,0.5200121084132089,0.5148441650157319,0.7579782598284444,0.7598829640650228
34,0.5198747390321018,0.5172887257938646,0.7582182333081221,0.759574497364691
35,0.5196943035208827,0.51455754913937,0.7582329986615987,0.7611332315918714
36,0.5197368339747385,0.5142180316625454,0.7582537746179695,0.7613669019803836
37,0.5195589965464961,0.5155347952972764,0.758318450668166,0.7587162161804675
38,0.5195958068733647,0.5151448963286849,0.7582270189014585,0.7589302636964865
