number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_units,params_lr,params_n_layers,user_attrs_val_f1_epoch_1,user_attrs_val_f1_epoch_10,user_attrs_val_f1_epoch_100,user_attrs_val_f1_epoch_11,user_attrs_val_f1_epoch_12,user_attrs_val_f1_epoch_13,user_attrs_val_f1_epoch_14,user_attrs_val_f1_epoch_15,user_attrs_val_f1_epoch_16,user_attrs_val_f1_epoch_17,user_attrs_val_f1_epoch_18,user_attrs_val_f1_epoch_19,user_attrs_val_f1_epoch_2,user_attrs_val_f1_epoch_20,user_attrs_val_f1_epoch_21,user_attrs_val_f1_epoch_22,user_attrs_val_f1_epoch_23,user_attrs_val_f1_epoch_24,user_attrs_val_f1_epoch_25,user_attrs_val_f1_epoch_26,user_attrs_val_f1_epoch_27,user_attrs_val_f1_epoch_28,user_attrs_val_f1_epoch_29,user_attrs_val_f1_epoch_3,user_attrs_val_f1_epoch_30,user_attrs_val_f1_epoch_31,user_attrs_val_f1_epoch_32,user_attrs_val_f1_epoch_33,user_attrs_val_f1_epoch_34,user_attrs_val_f1_epoch_35,user_attrs_val_f1_epoch_36,user_attrs_val_f1_epoch_37,user_attrs_val_f1_epoch_38,user_attrs_val_f1_epoch_39,user_attrs_val_f1_epoch_4,user_attrs_val_f1_epoch_40,user_attrs_val_f1_epoch_41,user_attrs_val_f1_epoch_42,user_attrs_val_f1_epoch_43,user_attrs_val_f1_epoch_44,user_attrs_val_f1_epoch_45,user_attrs_val_f1_epoch_46,user_attrs_val_f1_epoch_47,user_attrs_val_f1_epoch_48,user_attrs_val_f1_epoch_49,user_attrs_val_f1_epoch_5,user_attrs_val_f1_epoch_50,user_attrs_val_f1_epoch_51,user_attrs_val_f1_epoch_52,user_attrs_val_f1_epoch_53,user_attrs_val_f1_epoch_54,user_attrs_val_f1_epoch_55,user_attrs_val_f1_epoch_56,user_attrs_val_f1_epoch_57,user_attrs_val_f1_epoch_58,user_attrs_val_f1_epoch_59,user_attrs_val_f1_epoch_6,user_attrs_val_f1_epoch_60,user_attrs_val_f1_epoch_61,user_attrs_val_f1_epoch_62,user_attrs_val_f1_epoch_63,user_attrs_val_f1_epoch_64,user_attrs_val_f1_epoch_65,user_attrs_val_f1_epoch_66,user_attrs_val_f1_epoch_67,user_attrs_val_f1_epoch_68,user_attrs_val_f1_epoch_69,user_attrs_val_f1_epoch_7,user_attrs_val_f1_epoch_70,user_attrs_val_f1_epoch_71,user_attrs_val_f1_epoch_72,user_attrs_val_f1_epoch_73,user_attrs_val_f1_epoch_74,user_attrs_val_f1_epoch_75,user_attrs_val_f1_epoch_76,user_attrs_val_f1_epoch_77,user_attrs_val_f1_epoch_78,user_attrs_val_f1_epoch_79,user_attrs_val_f1_epoch_8,user_attrs_val_f1_epoch_80,user_attrs_val_f1_epoch_81,user_attrs_val_f1_epoch_82,user_attrs_val_f1_epoch_83,user_attrs_val_f1_epoch_84,user_attrs_val_f1_epoch_85,user_attrs_val_f1_epoch_86,user_attrs_val_f1_epoch_87,user_attrs_val_f1_epoch_88,user_attrs_val_f1_epoch_89,user_attrs_val_f1_epoch_9,user_attrs_val_f1_epoch_90,user_attrs_val_f1_epoch_91,user_attrs_val_f1_epoch_92,user_attrs_val_f1_epoch_93,user_attrs_val_f1_epoch_94,user_attrs_val_f1_epoch_95,user_attrs_val_f1_epoch_96,user_attrs_val_f1_epoch_97,user_attrs_val_f1_epoch_98,user_attrs_val_f1_epoch_99,state
0,0.5273468036494083,2026-07-31 10:44:53.388227,2026-07-31 10:51:53.856798,0 days 00:07:00.468571,256,0.023233444867279785,375,0.005399484409787433,3,0.7434655576320708,0.7498990877532897,0.7407309146381906,0.7501799280287885,0.7516949042686958,0.752697487595495,0.7534677701363796,0.7507397714270684,0.752955220781917,0.7528814882268765,0.7483582169566033,0.7508708724618869,0.7481127393359978,0.7539496241593037,0.7531015749471099,0.7512618695646384,0.7500133198358996,0.7533584374633536,0.7536330105438763,0.7514809148326861,0.7527412925570149,0.749465811965812,0.7526719738192018,0.750711223566737,0.7520763848015173,0.7510731874325143,0.7508177183341058,0.7509768442031836,0.7520212129877557,0.7458662539708398,0.7504993146661445,0.7518681888946549,0.7490638686372838,0.7503778172021814,0.7515622017181037,0.7490106063004591,0.7521586267514606,0.7492193702037576,0.7523456026394474,0.746746506986028,0.7486809292558079,0.7475909108934449,0.7502027150741545,0.7484141532699434,0.7485467399842891,0.7542778741360118,0.7462140570783011,0.7460427621920295,0.7503315218804442,0.7471864792308608,0.7475494729054929,0.7486077339399169,0.7469767811494192,0.748419227409619,0.7474005469751219,0.7472986182663602,0.7489311475409836,0.7454124164380643,0.7457845756933567,0.7457801727553689,0.7482303523737911,0.7448961856758961,0.745424602225941,0.7455220998521793,0.7460216591203961,0.7472942524843386,0.7469062242185351,0.7514440291680824,0.7443863426637958,0.7465397695816087,0.7461628030062454,0.7480534361084347,0.7480001565945896,0.7445614494080711,0.7433979463256387,0.7452249243294019,0.744267984158311,0.7416702378401543,0.752359224307788,0.7455132478464896,0.7423337637185281,0.7428700289178362,0.7444116406579502,0.7438872500819403,0.7444880185721968,0.7444341740393503,0.7439399921042242,0.7448585778482686,0.7418116344957237,0.7505855265769521,0.7438260617327901,0.7415452186065082,0.7429021254263972,0.7396131949771874,0.7416052579167497,0.7424754482923144,0.7394771643445853,0.7416961412653246,0.7439512163136843,0.7424022006506732,COMPLETE
1,0.5272941724798933,2026-07-31 10:51:53.863888,2026-07-31 11:01:53.591768,0 days 00:09:59.727880,1024,0.07272998688284026,419,0.00023270677083837802,9,0.7350355112668184,0.7498370035260462,0.7439247900212286,0.7476784795733276,0.7475589046911484,0.7520216696690378,0.7476483062367463,0.7504150672741038,0.7524122546496126,0.7514880558715378,0.7511942095722017,0.7473383747514238,0.7447117240644844,0.7535789874981924,0.7542399415540364,0.7521072083809727,0.7534278530883077,0.7498736601324574,0.7520134758119703,0.7524994095882862,0.7518069093561435,0.7511740826235772,0.7544272855742422,0.7457939432783208,0.7545624222314392,0.7538068070037379,0.750947268708557,0.7535497874649544,0.7523515061380507,0.750149503647889,0.7539323811245706,0.75078031212485,0.7514263502562819,0.7505160130501365,0.7485027575586064,0.750753848595461,0.752993718740614,0.7542513827469283,0.7531468348467799,0.7524618173755396,0.7520215986684317,0.749437768640132,0.7528605311856543,0.747508756686307,0.7488561328620023,0.749166288717552,0.7509221459419015,0.7515389210669853,0.7511934113203588,0.7512993592020948,0.7498349486360155,0.7513361316057043,0.7518670894368596,0.7532972088743483,0.7505446765208542,0.7486606906062696,0.7490128823834403,0.7498293336134012,0.7512124088255562,0.7501659313629797,0.7489208917987776,0.7516896249290616,0.7495611082511648,0.7483579963598955,0.7478233254823087,0.7481021761713236,0.747048725736168,0.7493444434091605,0.7494207736108384,0.7503059656797646,0.7466183832143999,0.7482207812747114,0.7503051393253175,0.7473864587346076,0.7460338621517131,0.7495170804433785,0.7476377590579948,0.7467112242732866,0.7463679896112329,0.7482686800312419,0.7493334363769852,0.747545656075161,0.7471633148133657,0.747912581646301,0.7454724797790491,0.747647629282101,0.7458019536686568,0.7464317456997961,0.7457129372279616,0.7491366617588007,0.7459742033782542,0.7465040479444853,0.7462271024146545,0.7471112492875278,0.7431647504485944,0.7459073424966852,0.7439319113165913,0.742708180935534,0.7461820483739087,0.7438217706514262,COMPLETE
2,0.5255138736458359,2026-07-31 11:01:53.601715,2026-07-31 11:15:12.448170,0 days 00:13:18.846455,256,0.11685785941408727,363,0.0005404103854647331,7,0.738504512247529,0.7490899248934298,0.7474305014974998,0.7476774735245524,0.7490178381822042,0.754583534508632,0.7543352226300567,0.7482651545835021,0.7521831891125452,0.7539701044014404,0.7531359825201058,0.7505096019740372,0.745576815307021,0.7549350529951798,0.753174219983558,0.7536763742168864,0.7518601535870127,0.751160680932814,0.754880694143167,0.7510028920608266,0.7521285525842427,0.7489235700800022,0.7542861606154888,0.74767194579101,0.7547160019720284,0.753539817223842,0.7492577815392469,0.7539965168568532,0.7512942363341917,0.7501634444755767,0.7520507722490685,0.7526183023627455,0.7525784101126567,0.7529027241456567,0.7520968769917145,0.7536319058515855,0.7519777010883992,0.7523913274524392,0.7548347011157999,0.7488028919432942,0.7527336403138984,0.7495044200375034,0.7546418062029635,0.7477611940298508,0.7518729673860091,0.7523290102032828,0.7500901261766473,0.750738994966845,0.7520037966673697,0.751219512195122,0.7518196202531645,0.7508009731325029,0.7519886587382847,0.7519239060846388,0.7503578054598463,0.7489801613138977,0.7453764595356328,0.7520436678941732,0.7476542412126597,0.7507324348798807,0.75026457826225,0.7494788277940806,0.7501967532380914,0.7510920498768962,0.7498745410844933,0.7479661721147789,0.748721888161903,0.7478751236969459,0.7512585752667136,0.751129790906336,0.7497019946491483,0.7520102506439339,0.7507131390057183,0.749117639253775,0.7482702998146988,0.7512626593044252,0.7507194953676326,0.747331247566232,0.7522706571242681,0.7499243311531932,0.7498819083608881,0.7485058697972252,0.7491975430949078,0.750296505793267,0.7482924226254002,0.7493403693931399,0.7517682634031121,0.7500650736633869,0.7495503538091924,0.7481562377812833,0.7485733911021875,0.7490456628845418,0.750548396842285,0.7483681332503608,0.7479890626244392,0.7473998804542737,0.7473906167633105,0.7459521612985173,0.7489365064731526,0.7483348120290796,COMPLETE
3,0.5247248536739683,2026-07-31 11:15:12.454904,2026-07-31 11:27:46.655850,0 days 00:12:34.200946,256,0.24301794076057537,291,0.00021930485556643703,7,0.7204819598990129,0.74755698130501,0.753248466459996,0.7467457705175613,0.7463419901733168,0.7511506597115679,0.750446127612325,0.7487863257109629,0.7530495427330746,0.7544366703720656,0.7531243004069162,0.748950869664953,0.7304232475231107,0.7533682188514275,0.7511140583554377,0.7538768657209715,0.7516419815459888,0.7497770210005675,0.7547041871503645,0.7524144103228564,0.7517036841758387,0.7505652050306633,0.7547788520345092,0.736192609490305,0.754404880870983,0.7543373478152375,0.7526526699772343,0.7546708300806662,0.7522491164185499,0.7498649816375027,0.7543612242766113,0.7538999142875981,0.7522972486363212,0.7535812818336163,0.747673525698593,0.7519906571822911,0.7530190108006855,0.7525770442770924,0.7545341125484274,0.7502290981618241,0.7542239891196317,0.752444480162876,0.7536731554659736,0.7476418000355954,0.7529324148203315,0.7449097561307346,0.7503039472617729,0.7534838128543422,0.7541170391764597,0.7536054656866003,0.7548132867872633,0.7523430616004914,0.754231139604522,0.7549809965938532,0.7522832578943139,0.7516297786720322,0.7433503227998641,0.7542697620521194,0.7521294032297069,0.752603298622685,0.7535318495372516,0.751760870440184,0.7519946362722092,0.7542350519816349,0.7537580529706513,0.7501016508091405,0.7520100603352553,0.7441720477180694,0.7559901431342736,0.7541533504133541,0.7511957865319503,0.7547417470630702,0.7551326990485728,0.7521873738053574,0.7528750931743158,0.7554142451330432,0.7541441928549764,0.7521489201676158,0.7485707400018744,0.7541512854099683,0.754081067538701,0.7535369967863668,0.7502963681431188,0.7543168736746441,0.7524826183481116,0.753170368201839,0.7549567802965517,0.754254954218012,0.7538327801485696,0.7481418759996237,0.7544970063819988,0.753299276287782,0.7543504547605279,0.7535160118851106,0.7512669883988224,0.7527164083120085,0.7541996473224348,0.7518448693778615,0.754332043876848,0.7545805775653199,COMPLETE
4,0.5252722930850142,2026-07-31 11:27:46.662280,2026-07-31 11:32:41.534931,0 days 00:04:54.872651,512,0.2736932106048628,331,0.0007591104805282694,4,0.7317620343898336,0.7505356186395287,0.7530699377420591,0.7495696611081226,0.750133790003211,0.7532440047089324,0.7526418683292825,0.753335255418971,0.7539024102543939,0.753920133807234,0.7523580543739596,0.7484185307814477,0.7483599902050495,0.7553888433035074,0.7534824987174934,0.7524571730934586,0.753464499572284,0.7525609772342778,0.7544770444951362,0.7527473261139522,0.7531895243749588,0.7520167989048815,0.7552218642834875,0.7488119484046164,0.7538807323773347,0.7530793810742367,0.7533506754169362,0.7554312644035319,0.7532696972893155,0.7527113524159315,0.754325259515571,0.7530698287220027,0.7533538915684879,0.7525425508182093,0.7504027874199337,0.7536471235893201,0.7539918453242141,0.7538793330177266,0.75395898660439,0.7516293887303378,0.7534113571953396,0.7523582709117761,0.7535864310057858,0.7497237420154704,0.7538137267817152,0.7518130855776393,0.7514207759366474,0.7543470314866064,0.7540068952812065,0.7526022948113835,0.7524850363403164,0.7537164791389113,0.7544187269857969,0.7554264228337036,0.752489425741524,0.7518131399317406,0.7497031270616177,0.7530311017395889,0.7516731994773751,0.7524818001323627,0.7523347129364322,0.7535548146488673,0.7535918593309255,0.7533457273578313,0.7533906802469788,0.7520841656678652,0.7526326930200561,0.7524404785303406,0.7548605572480159,0.7531335722066911,0.752420985420879,0.7543406081444638,0.7538168947118179,0.7534270299074136,0.752669652084051,0.7546291453080867,0.7532092850903893,0.7533929426792272,0.7509057613006074,0.7528672138047138,0.7540833060019678,0.7531340788792932,0.7523955080071766,0.7547530258423291,0.7531378532572641,0.7543638275499475,0.7534592518545798,0.7545091884114838,0.753911620294599,0.751907538911149,0.7546719160104987,0.7527205892075581,0.7540252207802433,0.7527259750730231,0.7530083676451056,0.7527510316368639,0.7530856014105607,0.7521780315664484,0.7542628146363184,0.7542663905418513,COMPLETE
5,0.5292403997314884,2026-07-31 11:32:41.539528,2026-07-31 11:34:25.277542,0 days 00:01:43.738014,1024,0.12468443043576438,765,0.001096821720752952,4,0.7379598232981641,0.7522586406135098,,0.7504566455356183,0.7495123472353074,0.7546296296296297,0.7525698945852157,0.753427161396454,0.7544594506426567,0.7526562950914291,,,0.7495261998668238,,,,,,,,,,,0.7515214922745194,,,,,,,,,,,0.7499083433719164,,,,,,,,,,,0.7526662099098983,,,,,,,,,,,0.7509395285275026,,,,,,,,,,,0.7535907335907336,,,,,,,,,,,0.7523876808750033,,,,,,,,,,,0.7503136431467322,,,,,,,,,,,PRUNED
6,0.5527942568067423,2026-07-31 11:34:25.281888,2026-07-31 11:34:58.986613,0 days 00:00:33.704725,512,0.23915999152443407,944,0.0069782812651260325,10,0.739533130502679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
7,0.5758486694000103,2026-07-31 11:34:58.991073,2026-07-31 11:35:04.381795,0 days 00:00:05.390722,1024,0.3314950036607718,464,0.0005170191786366995,5,0.7235596611125283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
8,0.5691168869833533,2026-07-31 11:35:04.385209,2026-07-31 11:35:09.320900,0 days 00:00:04.935691,1024,0.308897907718663,1014,0.00024970737145052745,2,0.7210465563678338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,0.5630913481498281,2026-07-31 11:35:09.325363,2026-07-31 11:35:19.359572,0 days 00:00:10.034209,256,0.14338629141770906,312,0.0001705053926026929,8,0.7237861642232009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
