epoch,train_loss,val_loss,train_f1,val_f1
1,0.5272404314434112,0.5209506356319563,0.7539668460549754,0.7562777253976672
2,0.5196525624824581,0.5178169192681744,0.7579588914353004,0.7587831194722267
3,0.5176152764885783,0.5157386637329017,0.7590759872299441,0.7600743177738116
4,0.5162939849293989,0.516180863995894,0.7596237488497369,0.7588470983585369
5,0.515208621367149,0.5159496444265278,0.7601688211722124,0.7589563199599193
6,0.5145232165523116,0.5156893705492512,0.7604989897589262,0.7600105461069822
7,0.5138188312008828,0.5150805144018965,0.7609678727760634,0.7609584419089936
8,0.5132122777051025,0.5151708189754428,0.7611547466022068,0.7601744818921266
9,0.5126393876526042,0.5154394921232675,0.7615735287608882,0.7600201885450949
10,0.5120870739759608,0.5152557513986374,0.7618777536906122,0.7612214569252672
11,0.5115116213268631,0.5153904009614745,0.7620558331984527,0.759861465721289
12,0.5110631062857214,0.5151819305035914,0.7622393380554756,0.7606626200101984
13,0.5104200650974636,0.5152246041180392,0.7624869594245041,0.7610309916111527
14,0.5099558290527982,0.5159898756658299,0.7629142496212568,0.7586954749976978
15,0.5094449380257604,0.5154016875030345,0.7630437070380266,0.7606387036965426
16,0.5088867240275529,0.5157706495791092,0.7633837309438941,0.7598725659851145
17,0.5082698402544584,0.5158891872121735,0.763735747635785,0.7604025898694091
