study,trial,state,batch_size,objective,last_epoch,prune_epoch,duration_seconds
warmup=0,92,PRUNED,256,0.5282359757035937,13,13,69.749105
warmup=0,93,PRUNED,256,0.5571435175888633,1,1,5.473837
warmup=0,94,PRUNED,256,0.5347635581092639,4,4,24.297323
warmup=0,95,PRUNED,256,0.5479177244823604,1,1,4.163058
warmup=0,96,PRUNED,1024,0.5967480370361137,1,1,2.16872
warmup=0,97,PRUNED,128,0.5394296753178305,3,3,63.028219
warmup=0,98,PRUNED,512,0.5527736886972228,1,1,4.790162
warmup=0,99,PRUNED,256,0.5505850445971723,1,1,10.458374
warmup=10,0,COMPLETE,256,0.5273468036494083,100,nan,419.532541
warmup=10,1,COMPLETE,1024,0.5272941724798933,100,nan,641.342247
warmup=10,2,COMPLETE,256,0.5255138736458359,100,nan,821.307533
warmup=10,3,COMPLETE,256,0.5247248536739683,100,nan,788.353052
warmup=10,4,COMPLETE,512,0.5252722930850142,100,nan,339.234642
warmup=10,5,PRUNED,1024,0.5292403997314884,17,17,119.920473
warmup=10,6,PRUNED,512,0.5297703411576236,13,13,359.200095
warmup=10,7,PRUNED,1024,0.5292298858594665,17,17,73.349953
warmup=10,8,PRUNED,1024,0.5377832847897392,11,11,49.949721
warmup=10,9,PRUNED,256,0.5352020093234491,11,11,95.883301
warmup=10,10,PRUNED,128,0.5295653070547129,13,13,235.190562
warmup=10,11,PRUNED,512,0.5414160777948912,11,11,48.657663
warmup=10,12,COMPLETE,512,0.5249530669805547,100,nan,452.798781
warmup=10,13,COMPLETE,128,0.5259304366041305,100,nan,1866.678059
warmup=10,14,PRUNED,256,0.5287582187164879,13,13,46.491069
warmup=10,15,COMPLETE,512,0.5248981395176787,100,nan,884.927123
warmup=10,16,PRUNED,512,0.5285986272100401,13,13,132.27703
warmup=10,17,PRUNED,256,0.5357405934294459,11,11,218.807337
warmup=10,18,PRUNED,128,0.5271983868895184,17,17,346.700757
warmup=10,19,PRUNED,512,0.528186375012209,13,13,258.098168
warmup=10,20,COMPLETE,256,0.5251740009491338,100,nan,1915.278092
warmup=10,21,COMPLETE,512,0.5247337328090084,100,nan,355.173686
warmup=10,22,COMPLETE,512,0.5246442965068236,100,nan,471.599763
warmup=10,23,PRUNED,512,0.5270460534126337,17,17,49.250785
warmup=10,24,PRUNED,512,0.5270386449125687,17,17,75.269932
warmup=10,25,PRUNED,512,0.5281688838162326,13,13,40.683623
warmup=10,26,PRUNED,256,0.5278280127656989,16,16,103.18307
warmup=10,27,PRUNED,128,0.5297364376574768,13,13,189.965637
warmup=10,28,PRUNED,512,0.5270116775488785,17,17,59.469298
warmup=10,29,PRUNED,256,0.527752615941257,16,16,67.963466
warmup=10,30,PRUNED,256,0.5388562753780655,11,11,102.023678
warmup=10,31,PRUNED,512,0.5281341960071108,13,13,100.931984
warmup=10,32,PRUNED,512,0.5326939854262743,11,11,45.305833
warmup=10,33,COMPLETE,512,0.5251031175036037,100,nan,596.161518
warmup=10,34,PRUNED,512,0.5266136282804641,17,17,78.794936
warmup=10,35,PRUNED,1024,0.5275006879123957,17,17,85.543043
warmup=10,36,COMPLETE,512,0.5248848098157842,100,nan,347.243663
warmup=10,37,COMPLETE,512,0.5251630237336816,100,nan,368.135536
warmup=10,38,PRUNED,1024,0.5279594121333385,13,13,23.968892
warmup=10,39,PRUNED,256,0.5290722106655122,13,13,44.28915
warmup=10,40,PRUNED,512,0.5278337350482647,13,13,41.930956
warmup=10,41,PRUNED,512,0.5292715326793154,13,13,46.610032
warmup=10,42,COMPLETE,512,0.5250463542752599,100,nan,1038.08416
warmup=10,43,PRUNED,512,0.5280178197001185,13,13,41.412118
warmup=10,44,PRUNED,512,0.52978058789319,13,13,46.119048
warmup=10,45,PRUNED,1024,0.5331034587277522,11,11,189.138609
warmup=10,46,PRUNED,128,0.5338413246298539,13,13,166.798975
warmup=10,47,PRUNED,512,0.5279958893586676,13,13,103.716096
warmup=10,48,PRUNED,256,0.5278692310275283,13,13,81.656798
warmup=10,49,PRUNED,512,0.528293129117996,13,13,115.959578
warmup=10,50,PRUNED,512,0.5340504682760113,11,11,89.883846
warmup=10,51,PRUNED,512,0.5270764679646903,16,16,73.797571
warmup=10,52,PRUNED,512,0.525373868795004,20,20,124.981177
warmup=10,53,PRUNED,512,0.526944527010917,16,16,66.763516
warmup=10,54,PRUNED,512,0.5297076904036088,13,13,34.735234
warmup=10,55,PRUNED,128,0.527586507723224,16,16,170.268626
warmup=10,56,PRUNED,256,0.5275315889872061,16,16,291.518577
warmup=10,57,PRUNED,512,0.5293637408911374,13,13,31.780948
warmup=10,58,PRUNED,1024,0.5296009132861099,17,17,133.656127
warmup=10,59,PRUNED,512,0.5276799118669143,13,13,38.128018
warmup=10,60,PRUNED,256,0.5280706822103161,13,13,153.429796
warmup=10,61,PRUNED,512,0.5273309150737122,16,16,176.675042
warmup=10,62,PRUNED,512,0.5282280238889856,13,13,157.288246
warmup=10,63,PRUNED,512,0.5270740142717698,16,16,171.157713
warmup=10,64,PRUNED,512,0.5283737343745432,13,13,100.078058
warmup=10,65,PRUNED,512,0.5275772332078462,13,13,133.991806
warmup=10,66,PRUNED,512,0.5283466559461393,13,13,130.616762
warmup=10,67,PRUNED,128,0.5281327981111492,13,13,176.23873
warmup=10,68,PRUNED,256,0.5280757810228535,16,16,301.534426
warmup=10,69,PRUNED,512,0.52706254776831,16,16,64.809013
warmup=10,70,PRUNED,512,0.5270310764850281,16,16,135.019384
warmup=10,71,PRUNED,512,0.5281485887846593,13,13,86.662363
